Name,Booking ID,Class,Seat,Cost
Vishal Parekh,9327200211,Business,Business class,80000,,
Vishal Parekh,9327200211,Business,Business class,80000,,
Vishal,15,Business,No,90000
Vishal Parekh,1567,Business,No,90000
VP,1567,Business,No,230,usa ,13/03/2025
Vishal,15,Business,No,90000,Usa to Canada,30/02/2025
Vishal Parekh,9327200211,Business,Business class,80000,,
Vishal Parekh,93272002111,Economy,A-22,9000,ABD to GOX,08/04/2025
VP,1590,Economy,A-33,9000,USA To CANADA,03/05/2025
VP,90,Normal,NO SELECTION,9000,USA TO CANADA,09/05/2025
VP,89,Normal,No select,9000,Hydrabad to Bengaluru,20/09/2024
Vishal Parekh,1,First Class,A-12,900000,USA TO IND,09/03/2024
Vishal Parekh,2,Business Class,A-23,90000,USA TO UAE,23/09/2025
abc,10,jj,4,77,rajkot,4545
kisalay,123,aa,14a,12000,bengal,14th april
BHAGIRATH,0121,FIRST,12,1200,NEW TEST,11/12/20025
